Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.balp.json	70286	-	0	0	0	0	0	0	7	1295	0	0	0	0	0	0	0	1	0	0	619	475	0	0	0	9	0	1
fsh-generated/resources/AuditEvent-ex-auditAuthZconsent-deny.json	3114	12	1	0	0	1	0	0	1	314	0	0	0	0	0	0	0	0	0	0	50	86	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditAuthZconsent.json	2986	11	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	1	0	0	50	49	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreate1.json	2966	10	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	47	45	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreate2.json	2969	10	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	51	42	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateClient.json	2946	10	7	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	46	44	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateNoPatient.json	2618	9	1	0	0	0	0	0	1	43	0	0	0	0	0	0	0	0	0	0	44	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateNoUser.json	2652	9	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	46	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateNoUserJob.json	2670	8	1	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	49	39	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateNoUserReport.json	2675	9	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	47	42	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditBasicCreateServer.json	2949	10	7	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	49	41	0	0	0	0	0	0
