URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://dicom.nema.org/resources/ontology/DCM,01,active,"1.2.840.10008.2.16.4",DICOM Controlled Terminology Definitions,null,"DICOM Code Definitions (Coding Scheme Designator ""DCM"" Coding Scheme Version ""01"")","ValueSet/formatcode"
http://hl7.org/fhir/bundle-type,4.3.0,active,"2.16.840.1.113883.4.642.4.621",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","ValueSet/bundle-type"
http://hl7.org/fhir/composition-status,4.3.0,draft,"2.16.840.1.113883.4.642.4.242",CompositionStatus,CompositionStatus,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/document-reference-status,4.3.0,draft,"2.16.840.1.113883.4.642.1.8",DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/DocumentReferenceStats"
http://hl7.org/fhir/document-relationship-type,4.3.0,draft,"2.16.840.1.113883.4.642.4.245",DocumentRelationshipType,DocumentRelationshipType,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/http-verb,4.3.0,active,"2.16.840.1.113883.4.642.4.625",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","ValueSet/DSUBmPublishBundleActions,ValueSet/http-verb,ValueSet/MHDprovidePatientActions"
http://hl7.org/fhir/identifier-use,4.3.0,active,"2.16.840.1.113883.4.642.1.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/list-mode,4.3.0,draft,"2.16.840.1.113883.4.642.4.319",ListMode,ListMode,"The processing mode that applies to this list.","ValueSet/list-mode"
http://hl7.org/fhir/list-status,4.3.0,draft,"2.16.840.1.113883.4.642.4.327",ListStatus,ListStatus,"The current state of the list.","ValueSet/list-status"
http://hl7.org/fhir/resource-types,4.3.0,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://hl7.org/fhir/search-entry-mode,4.3.0,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/subscription-channel-type,4.3.0,draft,"2.16.840.1.113883.4.642.4.501",SubscriptionChannelType,SubscriptionChannelType,"The type of method used to execute a subscription.","ValueSet/subscription-channel-type"
http://hl7.org/fhir/subscription-notification-type,4.3.0,draft,"2.16.840.1.113883.4.642.1.1524",SubscriptionNotificationType,SubscriptionNotificationType,"The type of notification represented by the status message.","ValueSet/subscription-notification-type"
