Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.dsubm.json	104588	-	0	0	0	0	0	0	9	84	0	0	0	0	0	0	0	2	0	0	617	575	0	0	0	36	0	1
fsh-generated/resources/AuditEvent-ex-AuditCreateResourceNotifyBroker.json	2741	7	1	0	0	1	0	0	0	316	0	0	0	0	0	0	0	0	0	0	73	56	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditCreateResourceNotifyRecipient.json	2744	4	0	0	0	0	0	0	1	85	0	0	0	0	0	0	0	0	0	0	60	40	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicReadBroker.json	2355	4	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	91	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicReadSubscriber.json	2366	5	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	47	36	0	0	0	0	0	1
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicSearchBroker.json	2458	4	1	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	43	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicSearchSubscriber.json	2469	4	0	0	0	0	0	0	1	102	0	0	0	0	0	0	0	0	0	0	41	35	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditResourcePublishBroker.json	2733	4	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	43	38	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditResourcePublishPublisher.json	2742	4	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	43	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionReadBroker.json	2320	4	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	41	39	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionReadSubscriber.json	2331	3	0	0	0	0	0	0	1	60	0	0	0	0	0	0	0	0	0	0	40	53	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionSearchBroker.json	2476	4	1	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	58	35	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionSearchSubscriber.json	2487	3	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	55	40	0	0	1	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-create-multiPat.json	2417	4	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	43	43	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-create-patientDep.json	2806	4	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	45	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-update-multiPat.json	2423	3	0	0	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	0	53	35	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-update-patientDep.json	2812	3	1	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	50	37	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-subscriber-create-multiPat.json	2428	4	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	58	34	0	0	0	0	0	0
