Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.dsubm.json	104588	-	1	0	0	0	0	0	7	17	0	0	0	0	0	0	0	1	0	0	542	195	0	0	0	14	0	0
fsh-generated/resources/AuditEvent-ex-AuditCreateResourceNotifyBroker.json	2741	3	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	40	34	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditCreateResourceNotifyRecipient.json	2744	4	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	42	37	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicReadBroker.json	2355	3	0	0	0	0	0	0	1	58	0	0	0	0	0	0	0	0	0	0	38	38	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicReadSubscriber.json	2366	3	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	38	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicSearchBroker.json	2458	3	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	40	33	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditQueryResourceSubscriptionTopicSearchSubscriber.json	2469	3	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	39	32	0	0	1	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditResourcePublishBroker.json	2733	3	1	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	38	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditResourcePublishPublisher.json	2742	2	0	0	0	0	0	0	1	63	0	0	0	0	0	0	0	0	0	0	40	34	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionReadBroker.json	2320	3	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	40	34	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionReadSubscriber.json	2331	3	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	42	31	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionSearchBroker.json	2476	3	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	55	32	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditSearchSubscriptionSearchSubscriber.json	2487	3	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	40	31	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-create-multiPat.json	2417	3	0	0	0	0	0	0	1	53	0	0	0	0	0	0	0	0	0	0	42	34	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-create-patientDep.json	2806	2	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	1	0	0	44	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-update-multiPat.json	2423	3	1	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	40	35	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-broker-update-patientDep.json	2812	3	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	41	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-subscriber-create-multiPat.json	2428	3	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	39	32	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-subscriber-create-patientDep.json	2817	2	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	41	32	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-subscriber-update-multiPat.json	2434	3	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	38	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-resorceSubscription-subscriber-update-patientDep.json	2823	3	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	40	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-Deactivation.json	1798	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	25	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-EventNotification.json	6509	5	0	0	0	0	3	0	1	888	0	0	0	0	0	0	0	0	0	0	64	40	0	0	0	0	0	1
fsh-generated/resources/Bundle-ex-HandshakeNotification.json	1783	3	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	25	33	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-HeartbeatNotification.json	1780	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	25	36	0	0	1	0	0	0
fsh-generated/resources/Bundle-ex-ResourcePublish.json	4657	3	0	0	0	0	2	0	0	52	0	0	0	0	0	0	0	0	0	0	58	37	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-operationEvents.json	6374	4	0	0	0	0	2	0	1	55	0	0	0	0	0	0	0	1	0	0	77	39	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-operationStatus.json	1542	3	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	24	29	0	0	0	0	0	0
