Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.deid.json	17392	-	0	0	0	0	0	0	4	9	0	0	0	0	1	0	0	0	0	0	82	94	0	0	0	3	0	1
fsh-generated/resources/AuditEvent-ex-auditDeIdentification-source.json	3679	1	0	0	2	0	0	0	0	662	0	0	0	0	0	0	0	0	0	0	31	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditReIdentification-source.json	3126	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	23	97	0	0	0	0	0	0
fsh-generated/resources/Bundle-430e32bc-be3e-4c42-a17b-461ea4f402d4.json	51413	8	13	0	1	0	0	0	2	242	0	0	0	0	0	0	0	0	0	0	143	123	0	0	0	0	0	0
fsh-generated/resources/Bundle-6603561c-2888-4355-9df4-23675f6eb458.json	34956	15	10	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	81	69	0	0	0	0	0	1
fsh-generated/resources/Bundle-78f68a27-c439-4cd5-9ca2-ebc882468ade.json	49604	9	12	0	0	0	0	0	2	43	0	0	0	0	0	0	0	1	0	0	130	115	0	0	0	0	0	0
fsh-generated/resources/Bundle-80c516fd-9c84-4924-875b-bf0048979ae1.json	50314	10	10	0	0	0	0	0	2	31	0	0	0	0	0	0	0	0	0	0	136	129	0	0	0	0	0	0
fsh-generated/resources/Bundle-e817cefe-a7c4-487a-8116-be23cf865f3f.json	51322	10	10	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	137	135	0	0	0	0	0	0
fsh-generated/resources/Bundle-fc7b32fe-13b1-42e9-bca1-ff805587d072.json	38971	6	7	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	87	75	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-IHE.DeId.AuditCreator.json	3555	2	0	0	4	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	26	20	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DeIdentificationEntityType.json	572	1	0	0	0	0	0	0	0	11	0	0	2	0	1	0	0	0	0	0	9	53	0	0	0	1	0	0
fsh-generated/resources/Patient-ex-Decedent-pandemicIPS-VRDR-stage-1.json	2688	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	31	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Decedent-pandemicIPS-VRDR-stage-2.json	3706	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Decedent-pandemicIPS-VRDR.json	2667	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Patient-secondaryUse-pandemicIPS-stage-1.json	1647	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Patient-secondaryUse-pandemicIPS-stage-2.json	1116	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Patient-secondaryUse-pandemicIPS.json	1539	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ex-Practitioner-IPS-SimoneHeps.json	873	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.BasicAudit.DeIdentification.Source.json	9072	4	0	85	0	0	0	0	0	107	0	0	2	0	1	0	0	3	0	0	667	751	0	0	0	17	0	2
fsh-generated/resources/ValueSet-DeIdentificationEntityTypeVS.json	517	3	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	10	97	0	0	0	1	0	0
fsh-generated/resources/ValueSet-IHE.BasicAudit.DeIdentification.Subtype.json	915	1	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	12	64	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.iti.deid#2.0.0-comment-milestone\fsh-generated\includes\fsh-link-references.md	1739	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.iti.deid#2.0.0-comment-milestone\fsh-generated\includes\menu.xml	2894	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
