Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.fais.json	48773	-	0	0	0	0	0	0	11	339	0	0	1	0	0	0	0	4	0	0	402	539	0	0	1	22	0	6
fsh-generated/resources/AuditEvent-ex-AuditFAISCancelClaim.json	2518	7	1	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	52	139	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISCheckCoverageEligibility.json	2590	4	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	47	50	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISClaimResponseQuery.json	2532	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	50	47	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISClaimResponseRead.json	2382	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	51	50	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISCoverageEligibilityResponseQuery.json	2624	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	43	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISCoverageEligibilityResponseRead.json	2451	4	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	45	45	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISEnrollBeneficiary.json	2568	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	45	44	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISEnrollmentResponseQuery.json	2593	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	50	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISEnrollmentResponseRead.json	2421	4	0	0	0	0	0	0	1	882	0	0	0	0	0	0	0	0	0	0	74	44	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISInsurancePlanQuery.json	2257	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	76	78	0	0	0	0	0	1
fsh-generated/resources/AuditEvent-ex-AuditFAISInsurancePlanRead.json	2078	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	48	80	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISReprocessClaim.json	2518	4	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	52	59	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-AuditFAISSubmitClaim.json	2508	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	43	51	0	0	0	0	0	0
fsh-generated/resources/Binary-FeatureITI121.json	1489	12	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	32	43	0	0	0	0	0	0
fsh-generated/resources/Binary-FeatureITI122.json	1509	7	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	33	37	0	0	0	0	0	0
fsh-generated/resources/Binary-FeatureITI123.json	1593	6	7	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	33	49	0	0	0	0	0	0
fsh-generated/resources/Binary-FeatureITI124.json	1613	7	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	31	36	0	0	1	0	0	0
