Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.npfs.json	16379	-	0	0	0	0	0	0	5	145	0	0	0	0	0	0	0	2	0	0	292	255	0	0	0	5	0	1
fsh-generated/resources/Bundle-ex-CreateDocumentBundle.json	4202	22	0	0	0	1	29	0	0	1744	0	0	0	0	0	0	0	0	0	0	82	112	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-ReplaceDocumentBundle.json	7671	28	0	0	0	0	8	0	1	124	0	0	0	0	0	0	0	1	0	0	99	116	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-UpdateDocumentBundle.json	4200	21	0	0	0	0	6	0	0	67	0	0	0	0	0	0	0	0	0	0	59	81	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileConsumer.json	3581	19	1	0	1	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	80	82	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileConsumerOption.json	3856	11	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	84	52	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileManager.json	3997	12	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	77	60	0	0	1	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileSource.json	1411	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	35	37	0	0	0	0	0	1
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileSourceOption.json	1829	7	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	51	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-NPFSclasscode.json	586	5	0	0	0	0	0	0	0	36	0	0	2	0	0	0	0	0	0	0	26	4874	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-12345.json	2588	11	1	0	0	0	0	0	1	57	0	0	0	0	0	0	0	0	0	0	46	78	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-DocumentReferenceMinimal.json	1453	7	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	32	56	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	961	8	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	24	37	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ex-practitioner.json	313	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	24	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.NPFS.CreateDocumentBundle.json	3770	15	8	0	0	0	0	408	0	369	0	0	2	0	0	0	0	2	0	0	934	3368	0	1	0	13	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.DocumentReference.json	5167	19	0	0	0	0	0	237	0	278	0	0	1	0	0	0	0	1	0	0	827	1552	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.ReplaceDocumentBundle.json	4908	16	7	0	0	0	0	594	0	418	0	0	2	0	0	0	0	1	0	0	1120	2076	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.RetrieveFile.Audit.Consumer.json	3343	11	1	0	0	0	0	746	0	757	0	0	1	0	0	0	0	3	0	0	1310	2888	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.RetrieveFile.Audit.Manager.json	3340	12	0	0	0	0	0	742	0	655	0	0	2	0	0	0	0	3	0	0	1268	2181	0	0	0	19	0	2
fsh-generated/resources/StructureDefinition-IHE.NPFS.SearchFile.Audit.Consumer.json	3062	11	0	0	0	0	0	742	0	658	0	0	2	0	0	0	0	3	0	0	1282	1918	0	0	0	22	0	2
fsh-generated/resources/StructureDefinition-IHE.NPFS.SearchFile.Audit.Manager.json	3052	11	0	0	0	0	0	726	0	763	0	0	2	0	0	1	0	3	0	0	1290	1879	0	0	0	21	1	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.SubmitFile.Audit.Manager.json	6856	22	0	0	0	0	0	542	0	695	0	0	2	0	0	0	0	2	0	0	1123	1327	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.SubmitFile.Audit.Source.json	6891	22	1	0	0	0	0	527	0	504	0	0	1	0	0	0	0	4	0	0	1141	1232	0	0	0	28	0	2
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentBundle.json	3764	13	7	0	0	0	0	379	0	345	0	0	2	0	0	0	0	2	0	0	783	1245	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentReference.Audit.Manager.json	3464	12	0	0	0	0	0	830	0	638	0	0	1	0	0	0	0	2	0	0	1269	1889	0	0	1	26	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentReference.Audit.Source.json	3453	12	0	0	0	0	0	878	0	632	0	0	2	0	0	0	0	3	0	0	1265	1568	0	0	0	20	0	2
fsh-generated/resources/ValueSet-DocumentReferenceCategory.json	791	5	0	0	0	0	0	0	1	119	0	0	0	0	0	0	0	0	0	0	28	8878	0	0	0	1	0	0
