Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.npfs.json	17461	-	0	0	0	0	0	0	3	985	0	0	0	0	0	0	0	0	0	0	228	204	0	0	0	4	0	0
fsh-generated/resources/Binary-ex-binary.json	266	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-CreateDocumentBundle.json	4124	9	0	0	0	0	7	0	0	318	0	0	0	0	0	0	0	0	0	0	43	51	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-ReplaceDocumentBundle.json	7566	16	0	0	0	0	9	0	0	48	0	0	0	0	0	0	0	0	0	0	71	68	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-UpdateDocumentBundle.json	4122	10	0	0	0	0	5	0	0	25	0	0	0	0	0	0	0	0	0	0	44	49	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileConsumer.json	3581	8	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	33	40	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileConsumerOption.json	3856	9	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	35	40	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileManager.json	3997	9	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	35	44	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileSource.json	1411	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	23	35	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.NPFS.FileSourceOption.json	1829	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	26	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-NPFSclasscode.json	586	3	0	0	0	0	0	1	1	8	0	0	1	1	0	0	0	0	0	0	31	2336	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-12345.json	2588	7	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	40	39	0	0	1	0	0	0
fsh-generated/resources/DocumentReference-ex-DocumentReferenceComprehensive.json	2591	8	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	41	35	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-DocumentReferenceMinimal.json	1453	5	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	33	31	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-DocumentReferenceReplaceNew.json	2613	8	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	56	39	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-DocumentReferenceReplaceOld.json	2615	8	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	42	35	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	961	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	29	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ex-practitioner.json	313	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.NPFS.CreateDocumentBundle.json	3770	335	4	0	0	0	0	4364	0	4381	0	0	1	0	0	0	0	1	0	0	798	2416	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.DocumentReference.json	5167	715	0	0	0	0	0	2725	0	2911	0	0	1	0	0	0	0	0	0	0	625	1810	0	0	0	9	1	0
fsh-generated/resources/StructureDefinition-IHE.NPFS.ReplaceDocumentBundle.json	4908	485	2	0	0	0	0	5626	0	5883	0	0	1	0	0	0	0	1	0	0	1017	2878	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.RetrieveFile.Audit.Consumer.json	3343	211	1	0	0	0	0	6672	0	6628	0	0	1	0	0	0	0	1	0	0	1406	4568	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-IHE.NPFS.RetrieveFile.Audit.Manager.json	3340	235	0	0	0	0	0	6794	0	6485	0	0	1	0	0	0	0	1	0	0	1403	4345	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.SearchFile.Audit.Consumer.json	3062	190	0	0	0	0	0	6507	0	6518	0	0	1	0	0	0	0	1	0	0	1616	4615	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.SearchFile.Audit.Manager.json	3052	190	0	0	0	0	0	6719	0	6502	0	0	1	0	0	0	0	1	0	0	1369	4479	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-IHE.NPFS.SubmitFile.Audit.Manager.json	6856	685	0	0	0	0	0	5337	0	5071	0	0	1	0	0	0	0	1	0	0	1242	4033	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.SubmitFile.Audit.Source.json	6891	643	0	0	0	0	0	5232	1	4984	0	0	1	0	0	0	0	0	0	0	1209	3772	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentBundle.json	3764	371	4	0	0	0	0	4199	0	4205	0	0	1	0	0	0	0	1	0	0	955	3310	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentReference.Audit.Manager.json	3464	237	0	0	0	0	0	6877	0	6466	0	0	1	0	0	0	0	1	0	0	1403	7075	0	0	0	16	1	1
fsh-generated/resources/StructureDefinition-IHE.NPFS.UpdateDocumentReference.Audit.Source.json	3453	215	0	0	0	0	0	6629	0	6766	0	0	1	0	0	0	0	1	0	0	1380	4165	0	0	0	17	0	2
fsh-generated/resources/ValueSet-DocumentReferenceCategory.json	791	3	1	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	22	6405	0	0	0	0	0	0
