Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pcf.json	53560	-	0	0	0	0	0	0	6	175	0	0	0	0	0	0	0	1	0	0	455	663	0	0	0	8	0	1
fsh-generated/resources/Binary-B-ink.json	34172	25	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	145	67	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentAuthorizationServer.json	2443	9	7	0	1	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	54	78	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentRecorder.json	2281	7	6	0	0	0	0	0	1	47	0	0	0	0	0	0	0	0	0	0	52	44	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentRegistry.json	2505	9	6	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	53	61	0	0	0	1	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-break-glass-restricted.json	2486	10	1	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	38	85	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-psy-or-sdv.json	2447	10	6	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	0	0	36	202	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-psy.json	2315	9	6	0	0	0	0	0	1	41	0	0	0	0	0	0	0	0	0	0	34	65	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-restricted.json	2328	9	6	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	36	83	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-not-restricted.json	1931	8	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	34	51	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-restricted.json	1809	8	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	34	46	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal.json	1683	8	1	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	33	45	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-ink.json	1524	6	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	31	47	0	0	1	0	0	1
fsh-generated/resources/Consent-ex-consent-basic-reject.json	1531	7	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	32	51	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-research.json	1311	6	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	29	51	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-treat-infant.json	1538	7	1	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	32	48	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-treat.json	1532	7	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	31	48	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-expired-treat.json	1583	7	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	31	49	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-intermediate-authoredby.json	1708	8	6	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	33	56	0	0	0	0	0	0
