Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pcf.json	53560	-	0	0	1	0	0	0	4	115	0	0	0	0	0	0	0	1	0	0	368	406	0	0	0	8	0	2
fsh-generated/resources/Binary-B-ink.json	34172	8	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	164	44	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentAuthorizationServer.json	2443	11	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	58	46	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentRecorder.json	2281	9	7	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	50	45	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PCF.consentRegistry.json	2505	9	8	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	62	48	0	0	0	2	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-break-glass-restricted.json	2486	10	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	34	58	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-psy-or-sdv.json	2447	9	24	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	35	54	0	0	0	0	0	1
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-psy.json	2315	8	13	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	36	54	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-focused-restricted.json	2328	8	8	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	35	53	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-not-restricted.json	1931	7	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	32	51	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal-restricted.json	1809	6	1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	31	62	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-advanced-normal.json	1683	7	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	30	67	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-ink.json	1524	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	32	53	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-reject.json	1531	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	35	45	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-research.json	1311	6	1	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	28	45	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-treat-infant.json	1538	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	29	44	0	0	1	0	0	0
fsh-generated/resources/Consent-ex-consent-basic-treat.json	1532	7	1	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-consent-expired-treat.json	1583	6	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	30	42	0	0	0	0	0	0
