Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pdqm.json	25495	-	0	0	0	0	0	0	4	145	0	0	0	0	0	0	0	1	0	0	364	294	0	0	0	6	0	1
fsh-generated/resources/AuditEvent-ex-auditPdqmMatch-consumer.json	4433	14	8	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	155	67	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmMatch-supplier.json	4885	13	7	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	71	61	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmQuery-consumer.json	2544	11	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	62	49	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmQuery-supplier.json	2943	13	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	67	51	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-QueryPatientResourceResponseMessage.json	2435	10	1	0	0	0	20	0	0	949	0	0	0	0	0	0	0	0	0	0	60	35	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-empty.json	510	4	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	49	27	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-error.json	1028	5	0	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0	50	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-multiple.json	4144	15	0	0	0	0	6	0	1	17	0	0	0	0	0	0	0	0	0	0	69	42	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-warning.json	3155	12	0	0	0	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	42	53	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output.json	2637	11	0	0	0	0	5	0	0	12	0	0	0	0	0	0	0	1	0	0	58	29	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsConsumerMatch.json	2206	6	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	71	67	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsConsumerQuery.json	5016	13	0	0	0	0	0	0	1	76	0	0	0	0	0	0	0	0	0	0	82	67	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsSupplier.json	5372	14	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	94	78	0	0	0	2	0	0
fsh-generated/resources/Device-ex-device.json	205	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	42	44	0	0	1	0	0	0
fsh-generated/resources/OperationDefinition-PDQmMatch.json	2993	8	19	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	51	49	0	0	0	1	0	0
fsh-generated/resources/OperationOutcome-ex-match-failure.json	252	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	32	24	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-ex-match-warning.json	258	24	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	44	41	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-count.json	1585	8	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	29	42	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-onlyCertainMatches.json	1614	7	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	129	36	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-patient-only.json	1532	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	54	27	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-match-input-patient.json	874	6	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	34	32	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient-mothers-maiden-name.json	854	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	1335	7	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	54	29	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.Match.Audit.Consumer.json	4376	15	7	0	0	0	0	939	0	809	0	0	2	0	0	1	0	3	0	0	1646	5804	0	0	0	27	0	3
fsh-generated/resources/StructureDefinition-IHE.PDQm.Match.Audit.Supplier.json	4362	15	8	0	0	0	0	918	0	743	0	0	1	0	0	0	0	8	0	0	1511	2721	0	0	0	25	1	2
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchInputPatient.json	2438	10	1	0	0	0	0	198	0	923	0	0	3	0	0	0	0	0	0	0	430	1015	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchParametersIn.json	5386	17	30	0	0	0	0	166	0	699	0	0	1	0	0	0	0	1	0	0	427	1416	0	0	0	17	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchParametersOut.json	4393	16	9	0	0	0	0	412	0	407	0	0	2	0	0	0	0	2	0	0	800	1727	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.Patient.json	4177	10	2	0	0	0	0	207	0	209	0	0	1	0	0	0	0	1	0	0	461	1849	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.Query.Audit.Consumer.json	4377	13	7	0	0	0	0	813	1	748	0	0	2	0	0	0	0	3	0	0	1635	2462	0	0	0	31	1	2
fsh-generated/resources/StructureDefinition-IHE.PDQm.Query.Audit.Supplier.json	4363	14	6	0	0	0	0	807	0	746	0	0	2	0	0	0	0	2	0	0	1427	2892	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-IHE.PDQm.QueryPatientResourceResponseMessage.json	2212	9	1	0	0	0	0	280	0	244	0	0	1	0	0	0	0	1	0	0	544	1196	0	0	0	11	0	1
