URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/IHE.PDQm.MatchInputPatient,StructureDefinition/IHE.PDQm.Patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-entity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.458",AuditEventEntityType,Audit event entity type,"Code for the entity type involved in the audit event.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","THO,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.452",AuditEventAction,AuditEventAction,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.454",AuditEventOutcome,AuditEventOutcome,"Indicates whether the event succeeded or failed.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-sub-type,4.0.1,active,"2.16.840.1.113883.4.642.3.464",AuditEventSub-Type,Audit Event Sub-Type,"More detailed code concerning the type of the audit event - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","DICOM,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-type,4.0.1,active,"2.16.840.1.113883.4.642.3.462",AuditEventID,Audit Event ID,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","THO,DICOM"
http://hl7.org/fhir/ValueSet/audit-source-type,4.0.1,active,"2.16.840.1.113883.4.642.3.466",AuditEventSourceType,Audit Event Source Type,"The type of process where the audit event originated from.","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","THO"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/IHE.PDQm.MatchParametersOut,StructureDefinition/IHE.PDQm.QueryPatientResourceResponseMessage","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/dicm-405-mediatype,4.0.1,active,"1.2.840.10008.6.​1.​908",MediaTypeCode,Media Type Code,"Media Type Code","StructureDefinition/IHE.PDQm.Match.Audit.Supplier,StructureDefinition/IHE.PDQm.Query.Audit.Supplier,StructureDefinition/IHE.PDQm.Match.Audit.Consumer,StructureDefinition/IHE.PDQm.Query.Audit.Consumer","DICOM"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/IHE.PDQm.MatchParametersOut,StructureDefinition/IHE.PDQm.QueryPatientResourceResponseMessage","hl7.fhir.r4.core"
