Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pdqm.json	27629	-	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	1	0	0	102	49	0	0	0	4	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmMatch-consumer.json	4433	4	0	0	2	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	28	24	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmMatch-supplier.json	4885	2	0	0	2	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	28	25	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmQuery-consumer.json	2544	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	27	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPdqmQuery-supplier.json	2943	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	23	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-QueryPatientResourceResponseMessage.json	2438	2	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-empty.json	482	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-error.json	1000	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-multiple.json	4116	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	22	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output-warning.json	3127	2	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-match-output.json	2609	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	21	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsConsumerMatch.json	2527	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	26	22	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsConsumerQuery.json	8279	2	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	32	20	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsSupplier.json	7127	2	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	19	0	0	0	1	0	1
fsh-generated/resources/CapabilityStatement-IHE.PDQm.PatientDemographicsSupplierMatch.json	7830	1	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	35	18	0	0	0	1	0	0
fsh-generated/resources/Device-ex-device.json	205	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/OperationDefinition-PDQmMatch.json	3038	1	0	0	4	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	1	0	0
fsh-generated/resources/OperationOutcome-ex-match-failure.json	252	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-ex-match-warning.json	258	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-count.json	1585	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-onlyCertainMatches.json	1614	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Parameters-ex-match-input-patient-only.json	1532	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-match-input-patient.json	874	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	12	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient-mothers-maiden-name.json	854	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	1335	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.Match.Audit.Consumer.json	3659	1	0	89	2	0	0	0	0	25	0	0	2	0	0	0	0	3	0	0	499	1004	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.Match.Audit.Supplier.json	3645	2	0	83	1	0	0	0	0	22	0	0	1	0	0	0	0	3	0	0	502	554	0	0	0	11	0	2
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchInputPatient.json	3039	2	0	33	0	0	0	0	0	10	0	0	1	0	0	0	0	1	0	0	144	221	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchParametersIn.json	5165	2	0	21	3	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	147	188	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.MatchParametersOut.json	3988	2	0	68	1	0	0	0	0	17	0	0	1	0	0	0	0	2	0	0	282	251	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.Patient.json	8695	2	0	12	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	197	242	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-IHE.PDQm.Query.Audit.Consumer.json	3660	2	0	80	2	0	0	0	0	22	0	0	1	0	0	0	0	3	0	0	488	486	0	0	0	12	0	2
fsh-generated/resources/StructureDefinition-IHE.PDQm.Query.Audit.Supplier.json	3646	2	0	89	1	0	0	0	0	24	0	0	0	0	0	0	0	4	0	0	493	520	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-IHE.PDQm.QueryPatientResourceResponseMessage.json	1771	1	0	33	0	0	0	0	0	11	0	0	1	0	0	0	0	1	0	0	189	287	0	0	0	5	0	1
\fsh-generated\includes\fsh-link-references.md	2425	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	2832	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\data\features.yml	269	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\download.md	697	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\index.md	2059	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\issues.md	8759	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\ITI-119.md	20944	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\ITI-78.md	28629	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\pagecontent\other.md	3326	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\testplan.md	15018	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\pagecontent\volume-1.md	23196	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\input\images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\images\Gateway.svg	3363	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\ITI-119-seq.svg	2815	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\ITI-78-seq.svg	5585	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\Implementing-PDQm-as-a-gateway.svg	9162	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\MPI-Based-Process-Flow-in-PDQm-Profile.svg	3735	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\PDQm-Actor-Diagram.svg	3267	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\Search-Process-Flow-in-PDQm-Profile.svg	3748	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	28232	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
