Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pixm.json	26181	-	0	0	0	0	0	0	5	150	0	0	0	0	0	0	0	1	0	0	341	244	0	0	6	8	0	6
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-create-manager.json	2900	14	1	0	0	1	0	0	0	840	0	0	0	0	0	0	0	0	0	0	68	111	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-delete-manager.json	2875	12	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	49	53	0	0	0	0	0	1
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-delete-source.json	2850	12	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	53	54	0	0	1	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-update-manager.json	2864	12	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	67	49	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-update-source.json	2839	13	0	0	0	0	0	0	1	36	0	0	0	0	0	0	0	0	0	0	54	58	0	0	2	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeedDelete-manager.json	2910	13	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	72	51	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeedDelete-source.json	2885	11	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	69	51	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmQuery-consumer.json	3238	12	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	68	53	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmQuery-manager.json	3259	12	1	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	51	38	0	0	0	0	0	0
fsh-generated/resources/Device-ex-device.json	205	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-pixm-response-error-not-found.json	257	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	961	6	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	25	30	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Create.Audit.Manager.json	4369	13	17	0	0	0	0	906	0	755	0	0	2	0	0	0	0	5	0	0	1478	6097	0	1	0	27	0	6
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Delete.Audit.Manager.json	4322	13	8	0	0	0	0	816	0	713	0	0	0	0	0	0	0	3	0	0	1496	2995	0	0	0	25	1	4
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Delete.Audit.Source.json	4283	13	8	0	0	0	0	941	0	752	0	0	3	0	0	0	0	4	0	0	1436	2670	0	0	1	25	0	4
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Update.Audit.Manager.json	4370	13	14	0	0	0	0	887	0	690	0	0	0	0	0	0	0	10	0	0	1398	2015	0	0	0	23	1	4
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Update.Audit.Source.json	4265	12	15	0	0	0	0	911	0	722	0	0	0	0	0	0	0	5	0	0	1361	2116	0	0	0	23	0	5
fsh-generated/resources/StructureDefinition-IHE.PIXm.Patient.BirthDateRequired.json	1631	6	1	0	0	0	0	406	0	146	0	0	0	0	0	0	0	0	0	0	320	660	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Patient.json	2300	10	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	1	0	0	371	620	0	0	0	7	0	1
