Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.pixm.json	26181	-	0	0	0	0	0	0	3	99	0	0	0	0	0	0	0	1	0	0	246	223	0	0	0	5	0	1
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-create-manager.json	2900	11	0	0	0	0	0	0	1	521	0	0	0	0	0	0	0	0	0	0	44	60	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-delete-manager.json	2875	9	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	38	52	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-delete-source.json	2850	12	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	38	39	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-update-manager.json	2864	10	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	39	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeed-update-source.json	2839	9	1	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	38	33	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeedDelete-manager.json	2910	11	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	38	35	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmFeedDelete-source.json	2885	9	0	0	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	40	37	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmQuery-consumer.json	3238	9	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	38	36	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditPixmQuery-manager.json	3259	10	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	50	33	0	0	0	0	0	0
fsh-generated/resources/Device-ex-device.json	205	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	25	0	0	0	0	0	0
fsh-generated/resources/OperationOutcome-pixm-response-error-not-found.json	257	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	26	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	961	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	19	26	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Create.Audit.Manager.json	4369	12	15	0	0	0	0	702	0	732	0	0	0	0	0	0	0	5	0	0	1398	4289	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Delete.Audit.Manager.json	4322	11	8	0	0	0	0	695	0	722	0	0	0	0	0	0	0	6	0	0	1458	2651	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Delete.Audit.Source.json	4283	11	8	0	0	0	0	681	0	682	0	0	1	0	0	0	0	8	0	0	1418	1895	0	0	0	20	0	2
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Update.Audit.Manager.json	4370	9	16	0	0	0	0	719	0	646	0	0	0	0	0	0	0	5	0	0	1365	1863	0	0	0	18	1	1
fsh-generated/resources/StructureDefinition-IHE.PIXm.Feed.Update.Audit.Source.json	4265	11	15	0	0	0	0	718	0	664	0	0	0	0	0	0	0	6	0	0	1357	1729	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-IHE.PIXm.Patient.BirthDateRequired.json	1631	5	0	0	0	0	0	317	0	147	0	0	1	0	0	0	0	2	0	0	318	1176	0	0	1	5	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Patient.json	2300	9	1	0	0	1	0	0	0	153	0	0	0	0	0	0	0	1	0	0	366	865	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Query.Audit.Consumer.json	4268	11	0	0	0	0	0	688	0	690	0	0	0	0	0	0	0	6	0	0	1417	1755	0	0	0	20	1	2
fsh-generated/resources/StructureDefinition-IHE.PIXm.Query.Audit.Manager.json	4262	11	0	0	0	0	0	682	0	652	0	0	0	0	0	0	0	5	0	0	1465	1610	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-IHE.PIXm.Query.Parameters.In.json	3692	14	0	0	0	0	0	136	0	208	0	0	0	0	0	0	0	2	0	0	390	595	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-IHE.PIXm.Query.Parameters.Out.json	3907	11	0	0	0	0	0	161	0	172	0	0	0	0	0	0	0	1	0	0	421	607	0	0	0	6	0	0
input/examples/Patient-MaidenAlice-Red.json	492	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	24	0	0	0	0	0	0
input/examples/Patient-MohrAlice-Blue.json	861	5	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
input/examples/Patient-MohrAlice-Green.json	863	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	0
input/examples/Patient-MohrAlice-Red.json	490	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	21	0	0	0	0	0	0
input/examples/Patient-MohrAlice.json	1192	5	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	19	24	0	0	0	0	0	0
input/examples/Patient-MohrAlissa-Red.json	492	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0
input/examples/Patient-MohrMaidenResolvedByMohrMalice-Red.json	733	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	22	0	0	0	0	0	0
input/examples/pixm-request-mohralice-red-all.xml	485	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	22	0	0	0	0	0	0
input/examples/pixm-request-mohralice-red-to-blue.xml	630	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	25	0	0	0	0	0	0
input/examples/pixm-response-mohralice-red-all.xml	1111	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	29	0	0	0	0	0	0
input/examples/pixm-response-mohralice-red-to-blue.xml	681	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	0
input/resources/capabilitystatement-IHE_PIXm_Consumer.xml	1788	10	9	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	42	29	0	0	0	1	0	0
input/resources/capabilitystatement-IHE_PIXm_Manager.xml	2445	13	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	48	31	0	0	1	1	0	0
input/resources/capabilitystatement-IHE_PIXm_Source.xml	2238	10	24	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	47	33	0	0	0	1	0	0
input/resources/operationdefinition-IHE_PIXm_pix.xml	3234	24	1	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	48	33	0	0	0	0	0	0
