URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/IHE.PMIR.Patient.Merge,StructureDefinition/IHE.PMIR.RelatedPerson,StructureDefinition/IHE.PMIR.Patient.Related","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-entity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.458",AuditEventEntityType,Audit event entity type,"Code for the entity type involved in the audit event.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","THO,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.452",AuditEventAction,AuditEventAction,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.454",AuditEventOutcome,AuditEventOutcome,"Indicates whether the event succeeded or failed.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-sub-type,4.0.1,active,"2.16.840.1.113883.4.642.3.464",AuditEventSub-Type,Audit Event Sub-Type,"More detailed code concerning the type of the audit event - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","DICOM,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-type,4.0.1,active,"2.16.840.1.113883.4.642.3.462",AuditEventID,Audit Event ID,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","THO,DICOM"
http://hl7.org/fhir/ValueSet/audit-source-type,4.0.1,active,"2.16.840.1.113883.4.642.3.466",AuditEventSourceType,Audit Event Source Type,"The type of process where the audit event originated from.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","THO"
http://hl7.org/fhir/ValueSet/bundle-type,4.0.1,active,"2.16.840.1.113883.4.642.3.620",BundleType,BundleType,"Indicates the purpose of a bundle - how it is intended to be used.","StructureDefinition/IHE.PMIR.Bundle,StructureDefinition/IHE.PMIR.Bundle.History","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/IHE.PMIR.Subscription,StructureDefinition/IHE.PMIR.Subscription.Request","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/IHE.PMIR.Subscription,StructureDefinition/IHE.PMIR.Subscription.Request","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/dicm-405-mediatype,4.0.1,active,"1.2.840.10008.6.​1.​908",MediaTypeCode,Media Type Code,"Media Type Code","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","DICOM"
http://hl7.org/fhir/ValueSet/http-verb,4.0.1,active,"2.16.840.1.113883.4.642.3.624",HTTPVerb,HTTPVerb,"HTTP verbs (in the HTTP command line). See [HTTP rfc](https://tools.ietf.org/html/rfc7231) for details.","StructureDefinition/IHE.PMIR.Bundle,StructureDefinition/IHE.PMIR.Bundle.History","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/IHE.PMIR.Patient.Merge,StructureDefinition/IHE.PMIR.Audit.Subscription.Create,StructureDefinition/IHE.PMIR.Bundle,StructureDefinition/IHE.PMIR.RelatedPerson,StructureDefinition/IHE.PMIR.Audit.Subscription.Read,StructureDefinition/IHE.PMIR.Audit.Subscription.Update,StructureDefinition/IHE.PMIR.MessageHeader.Response,StructureDefinition/IHE.PMIR.Subscription,StructureDefinition/IHE.PMIR.Feed.Audit,StructureDefinition/IHE.PMIR.MessageHeader,StructureDefinition/IHE.PMIR.Audit.Subscription.Delete,StructureDefinition/IHE.PMIR.Subscription.Request,StructureDefinition/IHE.PMIR.Bundle.History,StructureDefinition/IHE.PMIR.Patient.Related","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/IHE.PMIR.Patient.Merge,StructureDefinition/IHE.PMIR.Patient.Related","hl7.fhir.r4.core"
