Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.scheduling.json	13388	-	0	0	0	0	0	0	13	150	0	0	0	0	0	0	1	0	0	0	200	156	0	0	1	7	0	13
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.client.json	17822	12	0	0	1	0	0	0	1	188	0	0	0	0	0	0	0	1	0	0	147	121	0	0	0	3	0	0
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.server.json	16047	10	1	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	0	0	123	156	0	1	0	3	0	0
fsh-generated/resources/Encounter-example.json	389	9	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	31	42	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	852	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Recipient.json	2913	10	0	0	0	0	0	341	1	184	0	0	2	0	0	0	0	4	0	0	1280	6527	0	0	0	30	1	2
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Source.json	2899	8	1	0	0	0	0	239	0	137	0	0	2	0	0	0	0	3	0	0	1125	3166	0	0	0	35	1	4
input/resources/StructureDefinition-iti-sched-appt.xml	5356	36	0	0	0	0	0	94	0	54	0	0	2	0	0	0	0	0	0	0	361	2858	0	0	0	9	0	1
input/resources/StructureDefinition-iti-sched-bundle.xml	3928	29	0	0	0	0	0	126	0	60	0	0	1	0	0	0	0	2	0	0	806	2260	0	0	1	17	0	1
input/resources/StructureDefinition-iti-sched-extension-status-reason.xml	2604	19	0	0	0	0	0	50	0	13	0	0	1	0	0	0	0	0	0	0	97	464	0	0	0	3	0	0
input/resources/codesystem-status-reason.xml	8017	26	1	0	0	0	0	0	0	23	0	0	2	0	0	0	0	0	0	0	86	9301	0	0	0	3	0	0
input/resources/operationdefinition-appointment-book.xml	5545	18	20	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	55	52	0	0	0	1	0	0
input/resources/operationdefinition-appointment-find.xml	12945	39	1	0	0	0	0	0	1	188	0	0	0	0	0	0	0	0	0	0	129	55	0	0	0	3	0	0
input/resources/operationdefinition-appointment-hold.xml	2787	20	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	42	95	0	0	0	2	0	0
input/resources/valueset-sct-services.xml	2714	18	0	0	0	0	0	0	1	397	0	0	0	0	0	0	0	0	0	0	48	17235	0	0	0	1	0	0
input/resources/valueset-specialty.xml	1067	12	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	31	955	0	0	0	0	0	0
input/resources/valueset-status-reason.xml	694	10	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	31	226	0	0	0	0	0	0
