Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.scheduling.json	19168	-	0	0	0	0	0	0	9	311	0	0	1	0	0	0	0	1	0	1	192	257	0	0	0	5	0	4
fsh-generated/resources/AuditEvent-ex-auditSchedulingBook-recipient.json	2712	10	0	0	0	0	0	0	1	1217	0	0	0	0	0	0	0	0	0	0	47	154	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingBook-source.json	2740	9	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	45	87	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingFindPotential-recipient.json	2741	8	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	43	98	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingFindPotential-source.json	2769	7	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	43	43	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingHold-recipient.json	2712	9	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	44	45	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingHold-source.json	2740	9	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	43	41	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.client.json	8718	9	0	0	0	0	0	0	1	56	0	0	0	0	0	0	0	0	0	0	81	67	0	0	0	2	0	1
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.server.json	8968	9	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	82	55	0	0	1	1	0	0
fsh-generated/resources/Device-ex-device.json	205	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	22	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Recipient.json	2917	7	1	0	0	0	0	297	1	167	0	0	2	0	0	0	0	6	0	0	1164	6233	0	0	0	25	1	8
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Source.json	2902	7	0	0	0	0	0	209	0	89	0	0	1	1	0	0	0	3	0	0	1157	3170	0	0	0	21	0	5
fsh-generated/resources/StructureDefinition-IHE.Scheduling.FindPotential.Audit.Recipient.json	2534	7	0	0	0	0	0	190	0	93	0	0	2	0	0	0	0	3	0	0	1113	2433	0	0	0	20	1	5
fsh-generated/resources/StructureDefinition-IHE.Scheduling.FindPotential.Audit.Source.json	2971	7	0	0	0	0	0	264	0	93	0	0	1	0	0	0	0	3	0	0	1120	1991	0	0	0	21	0	2
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Hold.Audit.Recipient.json	2917	7	1	0	0	0	0	219	0	89	0	0	2	0	0	0	0	4	0	0	1059	2787	0	1	0	21	1	3
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Hold.Audit.Source.json	2902	11	0	0	0	0	0	225	0	62	0	0	2	0	0	0	0	3	0	0	1063	1844	0	0	0	21	0	3
input/examples/example-appointment.json	1518	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	32	44	0	0	0	0	0	0
input/examples/example-iti-scheduling-bundle.json	10031	9	0	0	0	0	32	0	0	3	0	0	0	0	0	0	0	0	0	0	58	52	0	0	0	0	0	0
input/examples/example-patient.json	1777	7	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	34	49	0	0	0	0	0	0
input/examples/example-practitioner.json	652	6	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	25	36	0	0	0	0	0	0
input/resources/StructureDefinition-iti-sched-appt.xml	5085	80	0	0	0	0	0	92	0	27	0	0	4	0	0	0	0	1	0	0	331	938	0	0	0	7	0	1
input/resources/StructureDefinition-iti-sched-bundle.xml	3928	30	0	0	0	0	0	131	0	35	0	0	2	0	0	0	0	1	0	0	647	1209	0	0	0	11	1	1
input/resources/StructureDefinition-iti-sched-extension-status-reason.xml	2604	20	0	0	0	0	0	28	0	54	0	0	1	0	0	0	0	0	0	0	92	301	0	0	0	2	0	0
input/resources/codesystem-status-reason.xml	8020	32	1	0	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	82	3959	0	0	0	1	0	0
input/resources/operationdefinition-appointment-book.xml	5635	17	21	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	60	45	0	0	0	1	0	0
input/resources/operationdefinition-appointment-find.xml	13442	25	1	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	116	49	0	0	0	2	0	0
input/resources/operationdefinition-appointment-hold.xml	2787	14	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	46	46	0	0	0	1	0	0
input/resources/valueset-sct-services.xml	2714	17	1	0	0	0	0	0	0	586	0	0	0	0	0	0	0	1	0	0	50	11404	0	0	0	1	0	0
input/resources/valueset-specialty.xml	1067	13	0	0	0	1	0	0	1	153	1	0	0	0	0	0	0	0	0	0	42	1152	0	0	1	0	0	0
input/resources/valueset-status-reason.xml	694	14	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	213	0	0	0	0	0	0
