Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.scheduling.json	19168	-	0	0	0	0	0	0	4	250	0	0	0	0	0	0	0	1	0	0	239	156	0	0	0	5	0	1
fsh-generated/resources/AuditEvent-ex-auditSchedulingBook-recipient.json	2712	7	0	0	0	0	0	0	0	842	0	0	0	0	0	0	0	0	0	0	56	64	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingBook-source.json	2740	7	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	50	76	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingFindPotential-recipient.json	2741	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	46	77	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingFindPotential-source.json	2769	6	1	0	0	0	0	0	2	10	0	0	0	0	0	0	0	1	0	0	49	51	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingHold-recipient.json	2712	6	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	43	41	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditSchedulingHold-source.json	2740	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	42	43	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.client.json	8718	6	1	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	80	48	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-IHE.Scheduling.server.json	8968	7	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	84	79	0	0	0	1	0	0
fsh-generated/resources/Device-ex-device.json	205	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	36	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Recipient.json	2917	6	1	0	0	0	0	158	1	86	0	0	3	0	0	0	0	19	0	0	1081	4580	0	0	0	22	0	1
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Book.Audit.Source.json	2902	6	0	0	0	0	0	157	0	55	0	0	3	0	0	0	0	6	0	0	1096	2563	0	0	0	25	1	1
fsh-generated/resources/StructureDefinition-IHE.Scheduling.FindPotential.Audit.Recipient.json	2534	6	0	0	0	0	0	140	0	49	0	0	3	0	0	0	0	18	0	0	1136	2440	0	0	0	24	0	1
fsh-generated/resources/StructureDefinition-IHE.Scheduling.FindPotential.Audit.Source.json	2971	6	0	0	0	0	0	149	0	50	0	0	4	0	0	1	0	6	0	0	1062	2201	0	0	1	19	0	2
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Hold.Audit.Recipient.json	2917	6	1	0	0	0	0	160	0	53	0	0	3	0	0	0	0	15	0	0	1056	2401	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-IHE.Scheduling.Hold.Audit.Source.json	2902	7	0	0	0	0	0	143	0	49	0	0	3	0	0	0	0	6	0	0	1078	11843	0	0	0	20	0	1
input/examples/example-appointment.json	1518	6	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	42	61	0	0	0	0	0	0
input/examples/example-iti-scheduling-bundle.json	10031	8	0	0	0	0	9	0	0	12	0	0	0	0	0	0	0	0	0	0	299	67	0	0	0	0	0	0
input/examples/example-patient.json	1777	6	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	285	70	0	0	0	0	0	0
input/examples/example-practitioner.json	652	6	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	69	0	0	0	0	0	0
input/resources/StructureDefinition-iti-sched-appt.xml	5085	27	0	0	0	0	0	40	0	34	0	0	1	0	0	0	0	2	0	0	317	1658	0	1	0	7	0	1
input/resources/StructureDefinition-iti-sched-bundle.xml	3928	25	0	0	0	0	0	79	0	32	0	0	3	0	0	0	0	2	0	0	607	1379	0	0	0	9	0	0
input/resources/StructureDefinition-iti-sched-extension-status-reason.xml	2604	19	0	0	0	0	0	9	0	13	0	0	5	0	0	0	0	0	0	0	92	271	0	0	0	2	0	0
input/resources/codesystem-status-reason.xml	8020	26	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	1	0	0	80	3188	0	0	0	2	0	0
input/resources/operationdefinition-appointment-book.xml	5635	27	15	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	57	42	0	0	0	1	0	0
input/resources/operationdefinition-appointment-find.xml	13442	46	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	110	47	0	0	0	2	0	0
input/resources/operationdefinition-appointment-hold.xml	2787	18	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	42	39	0	0	0	0	0	0
input/resources/valueset-sct-services.xml	2714	17	0	0	0	0	0	0	1	115	0	0	0	0	0	0	0	0	0	0	48	12510	0	0	0	1	0	0
input/resources/valueset-specialty.xml	1067	14	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	33	1207	0	0	0	0	0	0
input/resources/valueset-status-reason.xml	694	15	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	32	251	0	0	0	1	0	0
