Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.vhl.json	33213	-	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	1	0	0	112	61	0	0	0	7	0	1
fsh-generated/resources/ActorDefinition-TrustAnchor.json	719	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	21	32	0	0	0	2	0	0
fsh-generated/resources/ActorDefinition-VHLHolder.json	520	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	3	0	0
fsh-generated/resources/ActorDefinition-VHLReceiver.json	481	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	17	20	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-VHLSharer.json	393	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	20	19	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.VHL.TrustAnchor.json	1204	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	18	26	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-VHLReceiverCapabilityStatement.json	5077	1	0	0	0	0	0	0	0	11	0	0	0	0	1	0	0	0	0	0	42	33	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-VHLSharerCapabilityStatement.json	4336	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	34	28	0	0	0	1	0	0
fsh-generated/resources/ExampleScenario-UseCaseEVAC.json	3202	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	22	31	0	0	0	1	0	0
fsh-generated/resources/ExampleScenario-UseCaseGDHCN.json	4708	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	35	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-UseCaseHajjPilgrimage.json	5357	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	28	37	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-UseCasePH4H.json	2701	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-UseCaseTEFCA.json	2076	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	16	27	0	0	0	2	0	0
fsh-generated/resources/OperationDefinition-generate-vhl.json	8442	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	36	33	0	0	0	1	0	0
fsh-generated/resources/Requirements-AuditEventAccess.json	1054	1	0	0	7	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	16	36	0	0	0	1	0	0
fsh-generated/resources/Requirements-AuditEventReceived.json	1163	0	0	0	3	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	15	36	0	0	0	0	0	0
fsh-generated/resources/Requirements-CreateSecureChannel.json	1586	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	44	0	0	0	0	0	0
fsh-generated/resources/Requirements-EstablishTrust.json	1053	0	0	0	5	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	13	34	0	0	0	0	0	0
fsh-generated/resources/Requirements-InitiateRetrieveTrustListRequest.json	1438	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	14	32	0	0	0	0	0	0
