"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent","AuditEvent","","","",0,*,"","","","null {[]} {[]}
","Event record kept for security purposes","A record of an event made for purposes of maintaining a security log. Typical uses include detection of intrusion attempts and monitoring for inappropriate usage.","Based on IHE-ATNA.","","","","","","","","",,,,,"",,,,"AuditEvent",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.id","AuditEvent.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.meta","AuditEvent.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.implicitRules","AuditEvent.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.language","AuditEvent.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.text","AuditEvent.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.contained","AuditEvent.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"",""
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.extension","AuditEvent.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.modifierExtension","AuditEvent.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.type","AuditEvent.type","","","",1,1,"","","Y","Coding {[]} {[]}
","Type/identifier of event","Identifier for a family of the event.  For example, a menu item, program, rule, policy, function code, application name or URL. It identifies the performed function.","","This identifies the performed function. For ""Execute"" Event Action Code audit records, this identifies the application function performed.","","","","<valueCoding xmlns=""http://hl7.org/fhir"">
  <system value=""http://terminology.hl7.org/CodeSystem/audit-event-type""/>
  <code value=""rest""/>
</valueCoding>","","","",,"extensible","Type of event.","http://hl7.org/fhir/ValueSet/audit-event-type","",,,,"AuditEvent.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.subtype","AuditEvent.subtype","","","",2,*,"","","Y","Coding {[]} {[]}
","More specific type/id for the event","Identifier for the category of event.","","This field enables queries of messages by implementation-defined event categories.","","","","","","","",,"extensible","Sub-type of event.","http://hl7.org/fhir/ValueSet/audit-event-sub-type","","value:$this}
","",,"open","AuditEvent.subtype",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.subtype:anyCreate","AuditEvent.subtype","anyCreate","","",1,1,"","","Y","Coding {[]} {[]}
","More specific type/id for the event","Identifier for the category of event.","","This field enables queries of messages by implementation-defined event categories.","","","","<valueCoding xmlns=""http://hl7.org/fhir"">
  <system value=""http://hl7.org/fhir/restful-interaction""/>
  <code value=""create""/>
</valueCoding>","","","",,"extensible","Sub-type of event.","http://hl7.org/fhir/ValueSet/audit-event-sub-type","",,,,"AuditEvent.subtype",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.subtype:iti130","AuditEvent.subtype","iti130","","",1,1,"","","Y","Coding {[]} {[]}
","More specific type/id for the event","Identifier for the category of event.","","This field enables queries of messages by implementation-defined event categories.","","","","<valueCoding xmlns=""http://hl7.org/fhir"">
  <system value=""urn:ihe:event-type-code""/>
  <code value=""ITI-130""/>
  <display value=""Care Services Feed""/>
</valueCoding>","","","",,"extensible","Sub-type of event.","http://hl7.org/fhir/ValueSet/audit-event-sub-type","",,,,"AuditEvent.subtype",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.action","AuditEvent.action","","","",0,1,"","","Y","code {[]} {[]}
","Type of action performed during the event","Indicator for type of action performed during the event that generated the audit.","","This broadly indicates what kind of action was done on the AuditEvent.entity by the AuditEvent.agent.","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""C""/>","","","",,"required","Indicator for type of action performed during the event that generated the event.","http://hl7.org/fhir/ValueSet/audit-event-action|4.0.1","",,,,"AuditEvent.action",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.period","AuditEvent.period","","","",0,1,"","","","Period {[]} {[]}
","When the activity occurred","The period during which the activity occurred.","The period can be a little arbitrary; where possible, the time should correspond to human assessment of the activity time.","","","","","","","","",,,,,"",,,,"AuditEvent.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.recorded","AuditEvent.recorded","","","",1,1,"","","Y","instant {[]} {[]}
","Time when the event was recorded","The time when the event was recorded.","In a distributed system, some sort of common time base (e.g. an NTP [RFC1305] server) is a good implementation tactic.","This ties an event to a specific date and time. Security audits typically require a consistent time base (e.g. UTC), to eliminate time-zone issues arising from geographical distribution.","","","","","","","",,,,,"",,,,"AuditEvent.recorded",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHE.mCSD.Audit.CareServices.Create","AuditEvent.outcome","AuditEvent.outcome","","","",1,1,"","","Y","code {[]} {[]}
","Whether the event succeeded or failed","Indicates whether the event succeeded or failed.","In some cases a ""success"" may be partial, for example, an incomplete or interrupted transfer of a radiological study. For the purpose of establishing accountability, these distinctions are not relevant.","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""0""/>","","","",,"required","Indicates whether the event succeeded or failed.","http://hl7.org/fhir/ValueSet/audit-event-outcome|4.0.1","",,,,"AuditEvent.outcome",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
