URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/IHE.mCSD.Practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-entity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.458",AuditEventEntityType,Audit event entity type,"Code for the entity type involved in the audit event.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-action,4.0.1,draft,"2.16.840.1.113883.4.642.3.452",AuditEventAction,AuditEventAction,"Indicator for type of action performed during the event that generated the event.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-outcome,4.0.1,draft,"2.16.840.1.113883.4.642.3.454",AuditEventOutcome,AuditEventOutcome,"Indicates whether the event succeeded or failed.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-sub-type,4.0.1,active,"2.16.840.1.113883.4.642.3.464",AuditEventSub-Type,Audit Event Sub-Type,"More detailed code concerning the type of the audit event - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","DICOM,hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/audit-event-type,4.0.1,active,"2.16.840.1.113883.4.642.3.462",AuditEventID,Audit Event ID,"Event Types for Audit Events - defined by DICOM with some FHIR specific additions.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO,DICOM"
http://hl7.org/fhir/ValueSet/audit-source-type,4.0.1,active,"2.16.840.1.113883.4.642.3.466",AuditEventSourceType,Audit Event Source Type,"The type of process where the audit event originated from.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/IHE.mCSD.HealthcareService,StructureDefinition/IHE.mCSD.PractitionerRole,StructureDefinition/IHE.mCSD.OrganizationAffiliation,StructureDefinition/IHE.mCSD.OrganizationAffiliation.DocShare","SCT"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/IHE.mCSD.Organization,StructureDefinition/IHE.mCSD.FacilityOrganization,StructureDefinition/IHE.mCSD.JurisdictionOrganization","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/IHE.mCSD.HealthcareService,StructureDefinition/IHE.mCSD.PractitionerRole,StructureDefinition/IHE.mCSD.FacilityLocation,StructureDefinition/IHE.mCSD.JurisdictionLocation,StructureDefinition/IHE.mCSD.Location,StructureDefinition/IHE.mCSD.LocationDistance","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/dicm-405-mediatype,4.0.1,active,"1.2.840.10008.6.​1.​908",MediaTypeCode,Media Type Code,"Media Type Code","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","DICOM"
http://hl7.org/fhir/ValueSet/endpoint-connection-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.498",EndpointConnectionType,Endpoint Connection Type,"This is an example value set defined by the FHIR project, that could be used to represent possible connection type profile values.","StructureDefinition/IHE.mCSD.Endpoint","THO"
http://hl7.org/fhir/ValueSet/endpoint-payload-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.496",EndpointPayloadType,Endpoint Payload Type,"This is an example value set defined by the FHIR project, that could be used to represent possible payload document types.","StructureDefinition/IHE.mCSD.Endpoint.DocShare,StructureDefinition/IHE.mCSD.Endpoint","THO,Other"
http://hl7.org/fhir/ValueSet/endpoint-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.494",EndpointStatus,EndpointStatus,"The status of the endpoint.","StructureDefinition/IHE.mCSD.Endpoint.DocShare,StructureDefinition/IHE.mCSD.Endpoint","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/IHE.mCSD.Audit.CareServices.Update,StructureDefinition/IHE.mCSD.Audit.CareServices.Query,StructureDefinition/IHE.mCSD.Audit.CareServices.Read,StructureDefinition/IHE.mCSD.Audit.CareServices.Delete,StructureDefinition/IHE.mCSD.Audit.CareServices.Create,StructureDefinition/IHE.mCSD.Audit.CareServices.Process,StructureDefinition/IHE.mCSD.Audit.CareServices.Updates","hl7.fhir.r4.core"
