Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.iti.mxde.json	9717	-	0	0	0	0	0	0	2	1020	0	0	0	0	0	0	0	1	0	0	189	176	0	0	0	3	0	0
fsh-generated/resources/CapabilityStatement-IHE.mXDE.ClinicalDataConsumer.json	1775	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	27	38	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.mXDE.DataElementExtractor.json	1765	5	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	37	0	0	0	0	0	0
fsh-generated/resources/Device-ex-device.json	345	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-documentreference.json	438	4	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	18	29	0	0	0	0	0	0
fsh-generated/resources/Encounter-ex-encounter.json	394	3	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	0	0	20	30	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IHE-bloodPressure-0.json	1647	10	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	29	35	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight-stone.json	1086	7	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	32	35	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight.json	819	5	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	852	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	0	0	0
fsh-generated/resources/Provenance-ex-provenance.json	1295	6	1	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.ITI.mXDE.Provenance.json	5163	430	0	0	0	0	0	2067	0	2245	0	0	2	0	0	0	0	1	0	0	492	1699	0	0	0	9	0	1
