Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.pcc.fiio.json	10485	-	1	0	0	0	0	0	5	65	0	0	0	0	0	0	0	1	0	0	61	93	0	0	0	3	0	1
fsh-generated/resources/Bundle-e0e8252a-4aab-4fab-ac8f-5734abbd1ec7.json	71497	24	75	0	2	0	0	0	4	2598	0	0	0	0	0	0	0	0	0	0	176	291	0	0	0	0	0	1
fsh-generated/resources/Bundle-ex-bundle-ips-frank-missingdata.json	36549	17	11	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	78	142	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-bundle-secondaryUse-pandemnicips-patricia-jordana.json	47282	14	18	0	0	0	0	0	2	1975	0	0	0	0	0	0	0	0	0	0	132	253	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.IPS.Content-Consumer.json	726	7	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	41	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.IPS.Content-Creator.json	720	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	1	0	0
fsh-generated/resources/Composition-2a7a5f03-9581-4677-ba18-fbd3b221f601.json	9555	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	52	0	0	0	0	0	0
fsh-generated/resources/Composition-313df1ad-9094-4a93-a0cc-64ee25d3d327.json	8796	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	18	43	0	0	0	0	0	0
fsh-generated/resources/Composition-567f7a70-6f0d-49c5-a6ca-20eff88e7c8e.json	5980	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	15	28	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.FIPS.Complete.Option.Bundle.json	1395	2	0	248	0	0	0	0	0	236	0	0	9	0	0	0	0	8	0	0	2090	3574	0	0	0	50	2	10
fsh-generated/resources/StructureDefinition-IHE.FIPS.IO.Complete.Option.Composition.json	860	1	0	95	0	0	0	0	0	88	0	0	5	0	0	0	0	5	0	0	998	1550	0	0	0	19	1	7
fsh-generated/resources/StructureDefinition-IHE.FIPS.IO.ODH.Option.Composition.json	3534	2	0	159	0	0	0	0	0	92	0	0	3	0	0	0	0	4	0	0	986	1219	0	0	0	24	1	11
fsh-generated/resources/StructureDefinition-IHE.FIPS.ODH.Option.Bundle.json	4374	2	0	288	0	0	0	0	0	179	0	0	2	0	0	0	0	11	0	0	2476	1089	0	0	0	55	1	17
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\fsh-generated\includes\fsh-link-references.md	1104	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\fsh-generated\includes\menu.xml	2870	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\data\features.yml	291	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\download.md	676	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\index.md	2462	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\issues.md	16560	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\other.md	2156	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\testplan.md	6953	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\volume-1.md	29625	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\pagecontent\volume-3.md	25202	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\input\images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.pcc.fiio#1.0.0-comment\input\images\anImage.png	36288	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\ActorsAndTransactions.svg	2304	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	9009	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\docSharing.svg	4026	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\ips-usecase1-processflow.svg	6202	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\ips-usecase2-processflow.svg	10716	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\ips-usecase4-processflow.svg	11136	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\ips-usecase5-processflow.svg	16724	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
\temp\pages\_includes\ips-usecase6-processflow.svg	10458	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
\temp\pages\_includes\usecase1-processflow.svg	4766	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
