Source File	Size	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\input\ihe.pcc.odh.xml	16200	0	0	0	0	0	0	9	78	0	0	0	0	0	0	0	1	0	0	201	149	0	0	0	6	0	2
\input\resources\structuredefinition\odh-CombatZonePeriod.xml	15116	1	0	1	0	0	366	0	161	0	0	1	0	0	0	0	3	0	0	761	3343	0	0	0	21	0	2
\input\resources\structuredefinition\odh-Employer-extension.xml	2174	1	0	0	0	0	18	0	21	0	0	0	0	0	0	0	0	0	0	106	614	0	0	0	2	0	0
\input\resources\structuredefinition\odh-EmploymentStatus.xml	15635	0	0	0	0	0	144	1	143	0	0	0	0	0	0	0	1	0	0	683	1983	0	0	0	22	0	1
\input\resources\structuredefinition\odh-OccupationalDataForHealth.xml	15477	1	0	0	0	0	377	0	101	0	0	0	0	0	0	0	0	0	0	613	1540	0	0	0	16	0	1
\input\resources\structuredefinition\odh-PastOrPresentJob.xml	62125	0	0	0	0	0	191	0	165	0	0	1	0	0	0	0	6	0	0	2848	4679	0	0	0	96	1	5
\input\resources\structuredefinition\odh-RetirementDate.xml	15138	0	0	0	0	0	126	0	53	0	0	0	0	0	0	0	1	0	0	735	4008	0	1	0	24	0	1
\input\resources\structuredefinition\odh-UsualWork.xml	27604	1	0	0	0	0	56	0	126	0	0	1	0	0	0	0	2	0	0	1098	1710	0	0	0	30	0	2
\input\resources\valueset\obf-datatype-YesNoVS.xml	955	0	0	0	0	0	0	1	114	0	0	0	0	0	0	0	0	0	0	36	14085	0	0	0	1	0	0
\input\resources\valueset\odf-industriesVS.xml	675	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	34	493	0	0	0	1	0	0
\input\resources\valueset\odf-occupationVS.xml	585	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	456	0	0	0	0	0	0
\input\resources\structuredefinition\odh-isCurrentJob-extension.xml	1377	0	0	0	0	0	17	0	8	0	0	0	0	0	0	0	0	0	0	76	257	0	0	1	1	0	0
\input\resources\observation\observation-odh-combat-zone-period-sample.xml	980	1	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	24	132	0	0	0	0	0	0
\input\resources\observation\observation-odh-employment-status-sample.xml	1145	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	24	163	0	0	0	0	0	0
\input\resources\observation\observation-odh-retirement-date-sample.xml	880	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	23	89	0	0	0	0	0	0
\input\resources\patient\patient-odh-maya-gordon.xml	1222	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	19	97	0	0	0	0	0	0
\input\resources\practitioner\ex-practitioner.xml	1482	1	0	0	0	0	0	1	389	0	0	0	0	0	0	0	0	0	0	20	67	0	0	0	0	0	0
\input\resources\observation\observation-odh-usual-work-sample.xml	2725	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	269	100	0	0	0	0	0	0
\input\resources\composition\composition-odh-occupational-data-for-health-sample.xml	1062	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	31	91	0	0	0	0	0	0
\input\resources\organization\organization-odh-south-hospital.xml	1099	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	21	78	0	0	0	0	0	0
\input\resources\observation\observation-odh-past-or-present-job-sample.xml	5516	1	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	45	68	0	0	0	0	0	0
