Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.pcc.qedm.json	11735	-	0	0	0	0	0	0	5	134	0	0	0	0	0	0	0	1	0	0	197	255	0	0	0	5	0	1
fsh-generated/resources/AuditEvent-ex-auditQedmQuery-consumer.json	2889	11	1	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	51	141	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditQedmQuery-source.json	2908	9	1	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	49	65	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.QEDm.Clinical-Data-Consumer.json	37419	20	0	0	0	0	0	0	2	109	0	0	0	0	0	0	0	1	0	0	253	145	0	1	0	4	0	1
fsh-generated/resources/CapabilityStatement-IHE.QEDm.Clinical-Data-Source.json	37340	16	1	0	0	0	0	0	1	67	0	0	0	0	0	0	0	0	0	0	242	107	0	0	0	6	0	0
fsh-generated/resources/Device-ex-device.json	345	6	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	59	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-documentreference.json	438	6	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	29	55	0	0	0	0	0	0
fsh-generated/resources/Encounter-ex-encounter.json	394	6	0	0	0	0	0	0	1	229	0	0	0	0	0	0	0	0	0	0	26	55	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IHE-QEDm-bloodPressure-0.json	1679	7	1	0	0	0	0	0	0	225	0	0	0	0	0	0	0	0	0	0	33	123	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight.json	913	7	0	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	30	60	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight2.json	914	8	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	37	63	0	0	1	0	0	0
fsh-generated/resources/Patient-ex-patient.json	852	7	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	44	0	0	0	0	0	0
fsh-generated/resources/Provenance-ex-provenance.json	1295	7	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	32	100	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.QEDm.Query.Audit.Consumer.json	3646	11	7	0	0	0	0	344	0	178	0	0	2	0	0	0	0	4	0	0	1207	6064	0	0	0	32	1	5
fsh-generated/resources/StructureDefinition-IHE.QEDm.Query.Audit.Source.json	3621	10	8	0	0	0	0	230	0	102	0	0	1	0	0	0	0	3	0	0	1211	2687	0	0	0	26	0	1
