Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.pcc.qedm.json	12074	-	0	0	0	0	0	0	2	116	0	0	0	0	0	0	0	0	0	0	191	212	0	0	0	5	0	0
fsh-generated/resources/AuditEvent-ex-auditQedmQuery-consumer.json	2889	7	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	65	64	0	0	0	0	0	0
fsh-generated/resources/AuditEvent-ex-auditQedmQuery-source.json	2908	6	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	58	68	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-search.json	5093	7	1	0	0	0	4	0	1	162	0	0	0	0	0	0	0	1	0	0	70	135	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.QEDm.Clinical-Data-Consumer.json	39369	10	0	0	0	0	0	0	1	39	0	0	0	0	0	0	0	0	0	0	287	70	0	1	0	22	0	1
fsh-generated/resources/CapabilityStatement-IHE.QEDm.Clinical-Data-Source.json	39289	9	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	273	61	0	0	0	10	0	0
fsh-generated/resources/Device-ex-device.json	345	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	38	40	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-ex-documentreference.json	438	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	38	42	0	0	0	0	0	0
fsh-generated/resources/Encounter-ex-encounter.json	394	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	46	46	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IHE-QEDm-bloodPressure-0.json	1679	7	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	52	54	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-weight.json	913	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	33	52	0	0	1	0	0	0
fsh-generated/resources/Observation-ex-weight2.json	914	7	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	30	55	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-patient.json	852	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0
fsh-generated/resources/Provenance-ex-provenance.json	1295	6	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	33	81	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-IHE.QEDm.Query.Audit.Consumer.json	3646	6	4	0	0	0	0	155	0	63	0	0	2	0	0	0	0	6	0	0	1316	4017	0	0	0	38	1	1
fsh-generated/resources/StructureDefinition-IHE.QEDm.Query.Audit.Source.json	3621	6	5	0	0	0	0	176	1	58	0	0	2	0	0	0	0	6	0	0	1330	2619	0	0	0	27	0	1
