Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.pcc.maps.json	72089	-	0	0	0	0	0	0	23	65	0	0	0	0	0	0	0	2	0	0	562	750	0	0	0	29	0	4
fsh-generated/resources/AllergyIntolerance-ex-Allergy-Fish.json	1321	9	0	0	0	1	0	0	0	1577	0	0	0	0	0	0	0	0	0	0	68	63	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-ex-Allergy-Latex.json	1300	5	1	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	42	43	0	0	0	0	0	0
fsh-generated/resources/Appointment-activity-1.json	1021	7	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	49	48	0	0	0	0	0	0
fsh-generated/resources/Appointment-activity-2.json	900	6	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	36	42	0	0	0	0	0	0
fsh-generated/resources/Appointment-activity-3.json	896	5	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	33	46	0	0	0	0	0	0
fsh-generated/resources/CarePlan-ex-CarePlan-BirthPlan.json	684	9	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	42	53	0	0	0	0	0	0
fsh-generated/resources/CareTeam-ex-careteam.json	751	4	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	41	45	0	0	1	0	0	0
fsh-generated/resources/Composition-ex-APS-Composition-AmandaAlvarez.json	12509	12	1	0	0	0	0	0	2	244	0	0	0	0	1	0	0	0	0	0	129	149	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-Condition-FamilyHistory.json	667	6	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	70	42	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-HistoryOfInfection.json	967	5	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	47	38	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-Problem-GestationalDiabetes.json	1448	5	0	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	83	43	0	0	0	0	0	0
fsh-generated/resources/Condition-ex-Problem-Sepsis.json	1480	5	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	1	0	67	45	0	0	0	0	0	0
fsh-generated/resources/Condition-p1.json	539	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	51	45	0	0	0	0	0	0
fsh-generated/resources/Consent-ex-AdvanceDirectives-BloodTransfusion.json	1347	5	1	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	82	51	0	0	0	0	0	0
fsh-generated/resources/Coverage-ex-Coverage.json	611	5	0	0	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	53	56	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport-GestationalDiabetes.json	775	4	0	0	0	0	0	0	1	121	0	0	0	0	0	0	0	0	0	0	33	44	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport-Sepsis.json	923	5	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	32	41	0	0	0	0	0	0
fsh-generated/resources/Encounter-ex-Encounter.json	530	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	30	45	0	0	0	0	0	0
fsh-generated/resources/Goal-ex-goal.json	296	4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	35	40	0	0	0	0	0	0
fsh-generated/resources/Immunization-ex-Immunization-Vericella.json	870	6	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	31	44	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-ex-medicationStatement.json	2125	6	1	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	47	48	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-AlbuminPresenceInUrine.json	878	4	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	47	53	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-AlcoholUseFrequency.json	842	5	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	62	55	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-AnnotationComment.json	757	5	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	39	51	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-Antepartum-Genetic-Screening.json	570	6	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	30	48	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-AntepartumLabs.json	676	6	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	30	53	0	0	1	0	0	0
fsh-generated/resources/Observation-ex-AntepartumVisitSummaryFlowsheetBattery.json	670	4	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	31	53	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-BodyWeightMeasuredPrePregnancy.json	860	4	1	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	43	73	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-CervicalCanalExternalosDiameterUltrasound.json	876	5	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	52	77	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-CervixLengthUltrasound.json	838	5	0	0	0	0	0	0	1	93	0	0	0	0	0	0	0	1	0	0	70	48	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateNextClinicVisit.json	832	4	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	65	58	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateOfFirstPrenatalVisit-AmandaAlvarez.json	789	5	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	87	50	0	0	0	0	1	1
fsh-generated/resources/Observation-ex-DateOfFirstPrenatalVisit.json	790	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	92	49	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateOfLastLiveBirth-AmandaAlvarez.json	779	5	1	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	66	48	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateOfLastLiveBirth.json	780	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	39	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateOfLastMenstralPeriod.json	774	5	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	33	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DateOfLastOtherPregnancyOutcome.json	804	4	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	33	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DeliveryDateClinicalEstimate.json	783	5	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	36	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DeliveryDateEstimatedFromLMP.json	783	4	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	36	37	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DeliveryDateEstimatedFromOvulationDate.json	803	4	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	1	0	0	43	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-DeliveryRisk.json	853	5	1	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	34	37	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-Diet.json	860	4	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	35	39	0	0	0	0	0	0
