"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"MedicationTreatmentLineLM","MedicationTreatmentLineLM","","","",0,*,"","","","null {[]} {[]}
","Medication Treatment Line (model)","Logical model for representing one line/medication in medication overview.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicationTreatmentLineLM.identifier","MedicationTreatmentLineLM.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Unique business identifier(s) for the medication treatment line","Unique business identifier(s) for the medication treatment line","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.identifier",0,*,"",""
"MedicationTreatmentLineLM.subject","MedicationTreatmentLineLM.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient for whom the medication treatment line applies","The patient for whom the medication treatment line applies","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.subject",1,1,"",""
"MedicationTreatmentLineLM.medication[x]","MedicationTreatmentLineLM.medication[x]","","","",1,1,"","","","CodeableConcept {[]} {[]}
Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MEOW/StructureDefinition/MedicinalProductLM]]}","Medicinal product for which the treatment line refers to. Identification or sufficient description of the product.","Medicinal product for which the treatment line refers to. Identification or sufficient description of the product.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.medication[x]",1,1,"",""
"MedicationTreatmentLineLM.status","MedicationTreatmentLineLM.status","","","",1,1,"","","","code {[]} {[]}
","Status of the treatment line entry","Status of the record, not the status of the treatment.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/medication-statement-status","",,,,"MedicationTreatmentLineLM.status",1,1,"",""
"MedicationTreatmentLineLM.version","MedicationTreatmentLineLM.version","","","",0,1,"","","","string {[]} {[]}
","Business version of the treatment line","Business version of the treatment line","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.version",0,1,"",""
"MedicationTreatmentLineLM.timestamp","MedicationTreatmentLineLM.timestamp","","","",0,1,"","","","dateTime {[]} {[]}
","Timestamp of the version of the treatment line","Timestamp of the version of the treatment line","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.timestamp",0,1,"",""
"MedicationTreatmentLineLM.treatmentStatus","MedicationTreatmentLineLM.treatmentStatus","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The state of the actual treatment - taking, not taken...","The state of the actual treatment - taking, not taken...","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.treatmentStatus",0,1,"",""
"MedicationTreatmentLineLM.treatmentStatusReasonCode","MedicationTreatmentLineLM.treatmentStatusReasonCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The reason - coded - for the treatment status - i.e. adverse events, refusal...","The reason - coded - for the treatment status - i.e. adverse events, refusal...","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.treatmentStatusReasonCode",0,1,"",""
"MedicationTreatmentLineLM.treatmentStatusReasonText","MedicationTreatmentLineLM.treatmentStatusReasonText","","","",0,1,"","","","string {[]} {[]}
","The reason - free text - for the treatment status - i.e. adverse events, refusal...","The reason - free text - for the treatment status - i.e. adverse events, refusal...","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.treatmentStatusReasonText",0,1,"",""
"MedicationTreatmentLineLM.effectivePeriod","MedicationTreatmentLineLM.effectivePeriod","","","",0,1,"","","","Period {[]} {[]}
","The period of time the treatment is in effect","The period of time the treatment is in effect","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.effectivePeriod",0,1,"",""
"MedicationTreatmentLineLM.verificationInformation","MedicationTreatmentLineLM.verificationInformation","","","",0,*,"","","","BackboneElement {[]} {[]}
","Verification of medication line","Verification of medication line. The overview is verified as a whole, but each line is equipped with the information. The actual functional meaning and impact of this validation depends on the implementation.","","","","","","","","","",,,,,"",,,,"MedicationTreatmentLineLM.verificationInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationTreatmentLineLM.verificationInformation.id","MedicationTreatmentLineLM.verificationInformation.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"MedicationTreatmentLineLM.verificationInformation.extension","MedicationTreatmentLineLM.verificationInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
