"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IHEMedicationOrderModel","IHEMedicationOrderModel","","","",0,*,"","","","null {[]} {[]}
","Medication order (model)","Logical model for medication prescription or other types of medication orders","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"IHEMedicationOrderModel.groupIdentifier","IHEMedicationOrderModel.groupIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","Identifier for the group that this prescription belongs to. This might be the common identifier in use cases where one national prescription contains several medication items, which can be handled as separate orders","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.groupIdentifier",0,1,"",""
"IHEMedicationOrderModel.identifier","IHEMedicationOrderModel.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Business identifier(s) for the prescription","Business identifier(s) for the prescription","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.identifier",1,*,"",""
"IHEMedicationOrderModel.prescriber","IHEMedicationOrderModel.prescriber","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The person who made the prescription, and who takes the responsibility of the treatment","Question: would we want to add basic Practicioner model?","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.prescriber",1,1,"",""
"IHEMedicationOrderModel.issueDate","IHEMedicationOrderModel.issueDate","","","",1,1,"","","","dateTime {[]} {[]}
","Time of issuing (signing) the prescription by health care practicioner","Time of issuing (signing) the prescription by health care practicioner","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.issueDate",1,1,"",""
"IHEMedicationOrderModel.patient","IHEMedicationOrderModel.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PatientBasic]]}
","The person for whom the medication is prescribed/ordered","Question: would we want to add basic Patient model?","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.patient",1,1,"",""
"IHEMedicationOrderModel.recorder","IHEMedicationOrderModel.recorder","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","The recorder of the prescription/draft in the information system","The recorder of the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.recorder",0,1,"",""
"IHEMedicationOrderModel.recordingDate","IHEMedicationOrderModel.recordingDate","","","",0,1,"","","","dateTime {[]} {[]}
","Time of authoring the prescription/draft in the information system","Time of authoring the prescription/draft in the information system","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.recordingDate",0,1,"",""
"IHEMedicationOrderModel.status","IHEMedicationOrderModel.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Status of the prescription, this should not be status of treatment","Status of the prescription, this should not be status of treatment","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.status",1,1,"",""
"IHEMedicationOrderModel.statusReason","IHEMedicationOrderModel.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason for the current status of prescription, for example the reason why the prescription was made invalid","Reason for the current status of prescription, for example the reason why the prescription was made invalid","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.statusReason",0,*,"",""
"IHEMedicationOrderModel.basedOn","IHEMedicationOrderModel.basedOn","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/IHEMedicationOrder]]}
","What this order is based on","This is a reference to the order that this order is based on. For example, a prescription for a medication may be based on a proposal, and an administration request may be based on a prescription.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.basedOn",0,1,"",""
"IHEMedicationOrderModel.category","IHEMedicationOrderModel.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","Category or categories of prescription. For example type of reimbursement, or type of prescription (e.g. hospital, private, etc).","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.category",0,*,"",""
"IHEMedicationOrderModel.validFrom","IHEMedicationOrderModel.validFrom","","","",0,1,"","","","dateTime {[]} {[]}
","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","Effective date of the prescription. The prescription is not dispensable before this date. In most cases this information repeats issueDate","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.validFrom",0,1,"",""
"IHEMedicationOrderModel.validUntil","IHEMedicationOrderModel.validUntil","","","",0,1,"","","","dateTime {[]} {[]}
","The validity period end date. The prescription is not dispensable after this date.","The validity period end date. The prescription is not dispensable after this date.","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.validUntil",0,1,"",""
"IHEMedicationOrderModel.prescriptionIntent","IHEMedicationOrderModel.prescriptionIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","Type of intent of the prescription - prophylaxis, treatment, anesthesia, etc","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.prescriptionIntent",0,1,"",""
"IHEMedicationOrderModel.medication","IHEMedicationOrderModel.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/MedicinalProductModel]]}
","Prescribed product, branded, generic, virtual, extemporal, etc","Prescribed product, branded, generic, virtual, extemporal, etc","","","","","","","","","",,,,,"",,,,"IHEMedicationOrderModel.medication",1,1,"",""
