"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PractitionerBasic","PractitionerBasic","","","",0,*,"","","","null {[]} {[]}
","Practitioner (model)","Logical model for practitioner (basic data relevant for this use case)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"PractitionerBasic.identifier","PractitionerBasic.identifier","","","",1,*,"","","","Identifier {[]} {[]}
","Prescribing/dispensing practitioner's identifier","Prescribing/dispensing practitioner's identifier","","","","","","","","","",,,,,"",,,,"PractitionerBasic.identifier",1,*,"",""
"PractitionerBasic.name","PractitionerBasic.name","","","",1,*,"","","","HumanName {[]} {[]}
","Prescribing/dispensing practitioner's name, incl first name, last name, or any other relevant name parts","Prescribing/dispensing practitioner's name, incl first name, last name, or any other relevant name parts","","","","","","","","","",,,,,"",,,,"PractitionerBasic.name",1,*,"",""
"PractitionerBasic.specialtyProfession","PractitionerBasic.specialtyProfession","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Specialty/profession of the prescribing/dispensing practitioner","Specialty/profession of the prescribing/dispensing practitioner","","","","","","","","","",,,,,"",,,,"PractitionerBasic.specialtyProfession",0,*,"",""
"PractitionerBasic.organisation","PractitionerBasic.organisation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Facility/organisation the prescribing/dispensing practitioner represents","Facility/organisation the prescribing/dispensing practitioner represents","","","","","","","","","",,,,,"",,,,"PractitionerBasic.organisation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PractitionerBasic.organisation.id","PractitionerBasic.organisation.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"PractitionerBasic.organisation.extension","PractitionerBasic.organisation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PractitionerBasic.organisation.modifierExtension","PractitionerBasic.organisation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PractitionerBasic.organisation.identifier","PractitionerBasic.organisation.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","Organisation identifier","Organisation identifier","","","","","","","","","",,,,,"",,,,"PractitionerBasic.organisation.identifier",0,1,"",""
"PractitionerBasic.organisation.facilityName","PractitionerBasic.organisation.facilityName","","","",0,1,"","","","string {[]} {[]}
","Facility/organisation name","Facility/organisation name","","","","","","","","","",,,,,"",,,,"PractitionerBasic.organisation.facilityName",0,1,"",""
"PractitionerBasic.organisation.facilityAddress","PractitionerBasic.organisation.facilityAddress","","","",0,1,"","","","Address {[]} {[]}
","Facility/organisation address","Facility/organisation address","","","","","","","","","",,,,,"",,,,"PractitionerBasic.organisation.facilityAddress",0,1,"",""
"PractitionerBasic.contactInformation","PractitionerBasic.contactInformation","","","",0,1,"","","","BackboneElement {[]} {[]}
","Contact information for the prescriber/dispenser or the organisation","Contact information for the prescriber/dispenser or the organisation","","","","","","","","","",,,,,"",,,,"PractitionerBasic.contactInformation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"PractitionerBasic.contactInformation.id","PractitionerBasic.contactInformation.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"PractitionerBasic.contactInformation.extension","PractitionerBasic.contactInformation.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"PractitionerBasic.contactInformation.modifierExtension","PractitionerBasic.contactInformation.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
"PractitionerBasic.contactInformation.phone","PractitionerBasic.contactInformation.phone","","","",0,1,"","","","string {[]} {[]}
","Phone number","Phone number","","","","","","","","","",,,,,"",,,,"PractitionerBasic.contactInformation.phone",0,1,"",""
"PractitionerBasic.contactInformation.email","PractitionerBasic.contactInformation.email","","","",0,*,"","","","string {[]} {[]}
","Email address","Email address","","","","","","","","","",,,,,"",,,,"PractitionerBasic.contactInformation.email",0,*,"",""
