"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"IHEMedicationDispenseModel","IHEMedicationDispenseModel","","","",0,*,"","","","null {[]} {[]}
","Medication dispense (model)","Logical model for medication dispense report (based on request or independently)","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"IHEMedicationDispenseModel.identifier","IHEMedicationDispenseModel.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifier for the dispense","Identifier for the dispense","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.identifier",0,*,"",""
"IHEMedicationDispenseModel.patient","IHEMedicationDispenseModel.patient","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PatientBasic]]}
","The person for whom the medication is prescribed/ordered","The person for whom the medication is prescribed/ordered","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.patient",1,1,"",""
"IHEMedicationDispenseModel.receiver","IHEMedicationDispenseModel.receiver","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PatientBasic], CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole]]}
","Identification of the person who received the dispensed medication, especially when it was not the patient","Identification of the person who received the dispensed medication, especially when it was not the patient","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.receiver",0,1,"",""
"IHEMedicationDispenseModel.dispenser","IHEMedicationDispenseModel.dispenser","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/PractitionerBasic], CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","The person who dispensed the product, and takes the responsibility of the dispensation","The person who dispensed the product, and takes the responsibility of the dispensation","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.dispenser",1,1,"",""
"IHEMedicationDispenseModel.relatedRequest","IHEMedicationDispenseModel.relatedRequest","","","",0,*,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/IHEMedicationOrderModel]]}
","Prescription/request/order the dispense is related to","Prescription/request/order the dispense is related to","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.relatedRequest",0,*,"",""
"IHEMedicationDispenseModel.medication","IHEMedicationDispenseModel.medication","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/PHARM/MPD/StructureDefinition/MedicinalProductModel]]}
","Exact dispensed product","Exact dispensed product","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.medication",1,1,"",""
"IHEMedicationDispenseModel.dispensedQuantity","IHEMedicationDispenseModel.dispensedQuantity","","","",1,1,"","","","Quantity {[]} {[]}
","Number of dispensed packages if the pack size is known, or number of smaller items/units","Number of dispensed packages if the pack size is known, or number of smaller items/units","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.dispensedQuantity",1,1,"",""
"IHEMedicationDispenseModel.timeOfDispensation","IHEMedicationDispenseModel.timeOfDispensation","","","",1,1,"","","","dateTime {[]} {[]}
","Date and time of dispensation","Date and time of dispensation","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.timeOfDispensation",1,1,"",""
"IHEMedicationDispenseModel.substitution","IHEMedicationDispenseModel.substitution","","","",0,1,"","","","BackboneElement {[]} {[]}
","Substitution was made","Substitution was made","","","","","","","","","",,,,,"",,,,"IHEMedicationDispenseModel.substitution",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IHEMedicationDispenseModel.substitution.id","IHEMedicationDispenseModel.substitution.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"IHEMedicationDispenseModel.substitution.extension","IHEMedicationDispenseModel.substitution.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
