Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.qrph.ccg.json	33317	-	0	0	0	0	0	0	2	367	0	0	0	0	0	0	0	0	0	0	126	108	0	0	0	4	0	5
fsh-generated/resources/ActivityDefinition-activity-example-administermedication-ad.json	2393	6	0	0	0	0	0	1	0	983	0	0	0	0	0	0	0	0	0	0	31	36	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-collectinformation-ad.json	2715	5	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	31	31	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-activity-example-dispensemedication-ad.json	2544	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	30	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-ordermedication-ad.json	3269	5	0	0	0	0	0	0	1	283	0	0	0	0	0	0	0	1	0	0	29	33	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-orderservice-lab-ad.json	2268	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	29	0	0	1	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-orderservice-proc-ad.json	2294	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	27	29	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-orderservice-rad-ad.json	2289	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	29	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-orderservice-ref-ad.json	2286	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	27	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-proposediagnosis-ad.json	2610	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	25	0	0	0	1	0	1
fsh-generated/resources/ActivityDefinition-activity-example-recommendimmunization-ad.json	2423	4	0	0	1	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	27	26	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-sendmessage-ad.json	2398	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	30	24	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-activity-example-stopmedication-ad.json	2493	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	28	25	0	0	0	1	0	0
fsh-generated/resources/ActivityDefinition-activity-example-stopservice-ad.json	2476	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	29	25	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.CCG.GuidelineEngine.json	1693	4	0	0	0	0	1	0	0	23	0	0	0	0	0	0	0	0	0	0	32	38	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-IHE.CCG.GuidelinePerformer.json	941	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	29	23	0	0	0	0	0	0
