Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.rad.imr.json	20343	-	0	0	0	0	0	0	9	74	0	0	0	0	0	0	0	1	0	0	261	281	0	0	1	7	0	1
fsh-generated/resources/Bundle-ex-StoreMultimediaReportBundle.json	13766	20	1	0	0	1	59	0	1	695	0	0	0	0	0	0	0	0	0	0	88	133	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-StoreMultimediaReportBundleResponse.json	1006	5	1	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	22	44	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-findMultimediaReportResponse.json	11017	5	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0	65	64	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport-Using-Observation.json	10375	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	69	78	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport.json	9882	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	56	59	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Series.json	679	9	1	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	25	36	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Study-Comparison.json	666	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Study.json	655	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	24	37	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ex-ImagingStudy-Comparison.json	1083	4	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	35	35	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ex-ImagingStudy.json	1072	4	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	28	33	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Finding.json	6069	6	0	0	0	0	0	0	1	276	0	0	0	0	0	0	0	0	0	0	75	55	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Impression-1.json	1193	3	1	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	30	39	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Impression-2.json	1118	4	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	41	38	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Impression-3.json	1259	3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	30	36	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Impression-4.json	1200	4	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	33	34	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Impression-5.json	1080	4	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	35	37	0	0	1	0	0	0
fsh-generated/resources/Organization-ex-Organization.json	90	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	32	0	0	0	0	0	0
fsh-generated/resources/Patient-ex-Patient.json	490	3	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	21	32	0	0	0	0	0	0
fsh-generated/resources/Practitioner-ex-Practitioner.json	157	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	0	0	0
