Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.rad.imr.json	20343	-	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	5	0	0	160	142	0	0	0	8	0	1
fsh-generated/resources/Bundle-ex-StoreMultimediaReportBundle.json	13766	6	1	0	0	0	5	0	0	594	0	0	0	0	0	0	0	0	0	0	74	57	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-StoreMultimediaReportBundleResponse.json	1006	7	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	22	30	0	0	0	0	0	0
fsh-generated/resources/Bundle-ex-findMultimediaReportResponse.json	11017	5	0	0	0	0	6	0	0	3	0	0	0	0	0	0	0	0	0	0	65	44	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport-Using-Observation.json	10375	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	52	50	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-ex-DiagnosticReport.json	9882	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	52	42	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Series.json	679	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	22	27	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Study-Comparison.json	666	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0
fsh-generated/resources/Endpoint-ex-ImagingStudyEndpoint-Study.json	655	3	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ex-ImagingStudy-Comparison.json	1083	4	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	27	33	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ex-ImagingStudy.json	1072	3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	26	33	0	0	0	0	0	0
fsh-generated/resources/Observation-ex-IMRObservation-Finding.json	6069	4	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	66	38	0	0	0	0	0	0
