Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.rad.ira.json	14339	-	0	0	0	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	104	54	0	0	0	1	0	0
fsh-generated/resources/DiagnosticReport-example-DiagnosticReportComparisonStudyUpdate.json	790	7	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	18	37	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-example-DiagnosticReportContext.json	556	5	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-example-DiagnosticReportStatusUpdate.json	558	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	30	0	0	0	0	0	0
fsh-generated/resources/ImagingSelection-example-ImagingSelectionContent.json	1128	9	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	23	29	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-example-ImagingStudy-Comparison.json	935	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	21	34	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-example-ImagingStudyContext.json	931	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	0	0
fsh-generated/resources/Observation-example-ObservationContent.json	1782	10	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	29	32	0	0	0	0	0	0
fsh-generated/resources/Organization-example-Organization.json	105	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	29	0	0	0	0	0	0
fsh-generated/resources/Patient-example-PatientContext.json	618	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-associatedStudy.json	1812	8	0	0	0	0	0	29	0	27	0	0	1	0	0	0	0	0	0	0	81	256	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-diagnosticreportcontext.json	1833	9	1	0	0	0	0	153	0	127	0	0	1	0	0	0	0	0	0	0	296	541	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-diagnosticreportupdate.json	2412	10	0	0	0	0	0	162	0	143	0	0	1	0	0	0	0	1	0	0	297	509	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-imagingselectioncontent.json	1825	8	0	0	0	0	0	186	0	145	0	0	1	0	0	0	0	0	0	0	336	538	0	0	0	7	1	0
fsh-generated/resources/StructureDefinition-imagingstudycontext.json	3462	13	0	0	0	0	0	275	0	253	0	0	1	0	0	0	0	0	0	0	541	739	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-ira-observation.json	2831	11	0	0	0	0	0	240	0	225	0	0	2	0	0	0	0	1	0	0	484	710	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-patientcontext.json	2351	11	0	0	0	0	0	216	0	247	0	0	1	0	0	0	0	0	0	0	398	664	0	0	0	13	0	0
