Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-ihe.rad.mado.json	27340	-	0	0	0	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	115	124	0	0	0	4	0	0
fsh-generated/resources/ActorDefinition-MadoImagingManifestResponder.json	664	2	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	44	0	0	0	0	0	1
fsh-generated/resources/Bundle-mado-bundle-589331894518000.json	34000	4	26	0	0	0	0	0	1	810	0	0	0	0	0	0	0	0	0	0	74	124	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.RAD.MADO.DocumentConsumer.json	3089	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	19	42	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-IHE.RAD.MADO.DocumentResponder.json	3090	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	19	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MadoDeviceType.json	1207	1	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	8	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MadoEndpointConnectionTypes.json	1067	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	8	54	0	0	0	0	0	0
fsh-generated/resources/Device-MadoCreatorDeviceExample.json	417	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceFHIR.json	4009	1	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	16	31	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceFHIRwithTransform.json	4125	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	16	25	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-DocumentReferenceKOS.json	3690	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	15	30	0	0	0	0	0	0
