Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\input\implementationguide-IHE.FormatCode.xml	4192	-	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	51	42	0	0	0	2	0	3
input/resources/Bundle-history-IHE-formatcode.codesystem.xml	19913	54	10	0	2	0	0	0	1	86	0	0	0	0	0	0	0	0	0	7	106	33	0	0	0	0	0	0
input/resources/Bundle-history-IHE-formatcode.valueset.xml	9347	17	2	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	2	43	12	0	0	0	0	0	0
input/resources/codesystem-formatcode.xml	51183	36	0	0	1	0	1	0	3	24	0	0	0	0	0	0	0	1	0	0	112	361	0	0	0	4	0	1
input/resources/valueset-formatcode.xml	2551	8	0	0	0	0	0	0	0	4176	0	0	0	0	0	0	0	0	0	0	11	891	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.1-current\input\includes\menu.xml	407	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.1-current\input\data\features.yml	273	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.1-current\input\pagecontent\background.md	2390	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.1-current\input\pagecontent\index.md	1545	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C:\Git\temp\ig-builds\ihe.formatcode.fhir#1.5.1-current\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	2041	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
